mπ,mK,mη,fπ,fK,fη,fϕ,mN,mL,mS,mX
229.61669872,478.01628642,527.92042246,97.41240005,111.21763417,117.53471036,108.72158153,1007.27005889,1125.47651314,1183.32582053,1272.54477113
230.61669872,477.84485014,527.6228027,97.48041602,111.22962117,117.51620875,108.74208198,1007.99601442,1125.77854961,1183.42253839,1272.32070727
231.61669872,477.6724515,527.32345151,97.54850112,111.24154225,117.49759296,108.76254544,1008.72401209,1126.08081826,1183.51854729,1272.09459529
232.61669872,477.49908747,527.02236162,97.61665418,111.25339648,117.4788625,108.78297105,1009.4540502,1126.38331468,1183.61384221,1271.86642779
233.61669872,477.32475499,526.71952568,97.68487403,111.2651829,117.46001688,108.80335794,1010.18612708,1126.68603452,1183.70841814,1271.63619735
234.61669872,477.149451,526.4149363,97.7531595,111.27690059,117.44105561,108.82370523,1010.92024109,1126.98897341,1183.80227008,1271.40389655
235.61669872,476.97317239,526.108586,97.82150945,111.28854858,117.42197818,108.84401207,1011.65639058,1127.292127,1183.895393,1271.16951798
236.61669872,476.79591606,525.80046724,97.8899227,111.30012593,117.40278411,108.86427758,1012.39457393,1127.59549095,1183.98778192,1270.93305422
237.61669872,476.61767887,525.49057241,97.9583981,111.31163169,117.38347287,108.88450089,1013.13478956,1127.89906091,1184.07943185,1270.69449785
238.61669872,476.43845766,525.17889383,98.02693449,111.32306489,117.36404397,108.90468112,1013.87703586,1128.20283256,1184.17033778,1270.45384146
239.61669872,476.25824925,524.86542375,98.0955307,111.33442457,117.34449689,108.92481739,1014.62131127,1128.50680159,1184.26049474,1270.21107761
240.61669872,476.07705044,524.55015435,98.16418559,111.34570976,117.32483111,108.94490882,1015.36761423,1128.81096366,1184.34989774,1269.96619888
241.61669872,475.89485801,524.23307773,98.23289799,111.35691948,117.30504612,108.96495453,1016.11594317,1129.11531448,1184.4385418,1269.71919784
242.61669872,475.71166871,523.91418594,98.30166674,111.36805278,117.28514139,108.98495364,1016.86629658,1129.41984973,1184.52642194,1269.47006707
243.61669872,475.52747927,523.59347093,98.37049069,111.37910865,117.2651164,109.00490525,1017.61867291,1129.72456512,1184.61353317,1269.21879913
244.61669872,475.34228641,523.27092459,98.43936868,111.39008612,117.24497061,109.02480847,1018.37307064,1130.02945634,1184.69987051,1268.96538658
245.61669872,475.15608681,522.94653874,98.50829955,111.4009842,117.22470349,109.04466242,1019.12948825,1130.3345191,1184.78542899,1268.70982197
246.61669872,474.96887714,522.62030512,98.57728216,111.4118019,117.20431451,109.06446619,1019.88792425,1130.63974911,1184.87020361,1268.45209788
247.61669872,474.78065403,522.29221539,98.64631533,111.42253822,117.18380311,109.08421889,1020.64837711,1130.94514207,1184.9541894,1268.19220684
